GPS,Date ,"Time in 
(24 hours)","Time out
(24 hours) ",Weather ,Crew Leader (name) ,POI,General Location,Species Code,"Point Area (m²) or
 Line Depth (m)",PolygonLine ID,Direction from trail ,Distribution Code,"Does this cherry laurel or holly plant have a DBH of 20cm+? 
",Holly Berries present?,Proximity to stream or wetland,Vegetation layer ,Native Herb Layer %,Comment,Date entered by (name),POINT_X,POINT_Y,POINT_Z,Data entered into MV database
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2058,Cleveland,EH,0.5,,W,1,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.221,49.25794,77.8652,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2060,Cleveland,EH,0.5,,W,3,,Unknown,10m+,Herb,6-25%,,,-123.221,49.25778,81.3148,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2061,Cleveland,EH,0.5,,W,3,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.221,49.25783,83.738,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2062,Cleveland,EH,,P1-1,W,6,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25784,85.1347,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2063,Cleveland,EH,,P1-2,W,6,,N/A,10m+,Herb,6-25%,,Joseph Yang,-123.221,49.25794,86.8144,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2065,Cleveland,EH,,P1-3,W,6,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.222,49.25788,88.2434,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2066,Cleveland,EH,,P1-4,W,6,,Unknown,10m+,Herb,6-25%,,Joseph Yang,-123.221,49.25784,87.9661,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2067,Cleveland,EH,0.5,,W,3,,Unknown,10m+,Herb,1-5%,,Joseph Yang,-123.221,49.25775,88.9433,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2068,Cleveland,EI,1,,W,3,,N/A,10m+,Shrub,6-25%,,Joseph Yang,-123.221,49.25774,87.9875,
,14/10/2017,9:30:00,12:30:00,Overcast,Doug Crocker,2069,Cleveland,EH,2.3,,W,6,,Unknown,10m+,Mixed,6-25%,,Joseph Yang,-123.221,49.25769,88.3518,
